Name	Lab No	Label	Species	Subspecies	Haplogroup	Description	Age	Location	Reference
PP191140.1	BWJT06S		Cervus canadensis	alashanicus	Clade 3			China	
PP191141.1	BWJT07S		Cervus canadensis	alashanicus	Clade 3			China	
PP191142.1	BWJT08S		Cervus canadensis	alashanicus	Clade 3			China	
NC_050863.1		NC_050863.1 | Cervus canadensis nannodes	Cervus canadensis	nannodes	Clade 4			South Korea	
CM033226.1	Bull #8		Cervus canadensis		Clade 4			USA	
OL679923.1	SIB1		Cervus canadensis	sibiricus	Clade 4			Russa	https://www.nature.com/articles/s41598-022-20763-x
A50882_SP11517		A50882_SP11517 | Cervus canadensis | 12000 | Russia	Cervus canadensis	sibiricus	Clade 4		~12ky	Russia	10.1038/s41586-023-06035-2
A50880_SP11515		A50880_SP11515 | Cervus canadensis | 300 | Russia	Cervus canadensis	sibiricus	Clade 4		~0.3ky	Russia	10.1038/s41586-023-06035-2
JN632690.1			Cervus albirostris						
MF966595.1		MF966595.1 | Cervus albirostris 	Cervus albirostris						
MF872248.1	ZMUC5	MF872248.1 | Cervus elaphus | 9557 | Denmark	Cervus elaphus		A		~9.5ky	Denmark	onlinelibrary.wiley.com/doi/full/10.1002/ece3.3553
OL679912.1	WEST1		Cervus elaphus		A			Poland	https://www.nature.com/articles/s41598-022-20763-x
NC_007704.1		NC_007704.1 | Cervus elaphus 	Cervus elaphus		A			New Zealand	
OL679913.1	WEST2		Cervus elaphus		A			Poland	https://www.nature.com/articles/s41598-022-20763-x
OL679914.1	WEST3		Cervus elaphus		A			Poland	https://www.nature.com/articles/s41598-022-20763-x
OL679915.1	WEST4		Cervus elaphus		A			Poland	https://www.nature.com/articles/s41598-022-20763-x
MF872247.1	ZMUC2	MF872247.1 | Cervus elaphus | 4000 | Denmark	Cervus elaphus		A		~4ky	Denmark	onlinelibrary.wiley.com/doi/full/10.1002/ece3.3553
KX449334.1		KX449334.1 | Cervus elaphus macneilli	Cervus elaphus	macneilli	A			China	
MF872239.1	CGG-1-014525	MF872239.1 | Cervus elaphus | 38000 | Linares, Spain	Cervus elaphus		A		>38ky	Linares, Spain	onlinelibrary.wiley.com/doi/full/10.1002/ece3.3553
MF872244.1	CGG-1-014526	MF872244.1 | Cervus elaphus | 38000 | Linares, Spain	Cervus elaphus		A		>38ky	Linares, Spain	onlinelibrary.wiley.com/doi/full/10.1002/ece3.3553
MF872238.1	CGG-1-014530	MF872238.1 | Cervus elaphus | 38000 | Linares, Spain	Cervus elaphus		A		>38ky	Linares, Spain	onlinelibrary.wiley.com/doi/full/10.1002/ece3.3553
MF872243.1	CGG-1-014537	MF872243.1 | Cervus elaphus | 38000 | Linares, Spain	Cervus elaphus		A		>38ky	Linares, Spain	onlinelibrary.wiley.com/doi/full/10.1002/ece3.3553
MF872249.1	CGG-1-014538	MF872249.1 | Cervus elaphus | 38000 | Linares, Spain	Cervus elaphus		A		>38ky	Linares, Spain	onlinelibrary.wiley.com/doi/full/10.1002/ece3.3553
KT290948.1		KT290948.1 | Cervus elaphus hippelaphus | Hungary	Cervus elaphus	hippelaphus	C			Hungary	
OL679916.1	EAST1		Cervus elaphus		C			Poland	https://www.nature.com/articles/s41598-022-20763-x
OL679917.1	EAST2		Cervus elaphus		C			Poland	https://www.nature.com/articles/s41598-022-20763-x
OL679918.1	EAST3		Cervus elaphus		C			Poland	https://www.nature.com/articles/s41598-022-20763-x
OL679919.1	MAR1		Cervus elaphus	maral	E			Iran	https://www.nature.com/articles/s41598-022-20763-x
OL679920.1	MES1		Cervus elaphus		D			Poland	https://www.nature.com/articles/s41598-022-20763-x
OL679921.1	MES2		Cervus elaphus		D			Italy	https://www.nature.com/articles/s41598-022-20763-x
OL679922.1	TUN1		Cervus elaphus		B			Tunesia	https://www.nature.com/articles/s41598-022-20763-x
NC_013840.1		NC_013840.1 | Cervus hanglu yarkandensis	Cervus hanglu	yarkandensis					
NC_031835.1		NC_031835.1 | Rusa unicolor 	Rusa unicolor						
KY946815.1		KY946815.1 | Rusa unicolor hainana	Rusa unicolor	hainana					
NC_008414.1		NC_008414.1 | Rusa unicolor swinhoei	Rusa unicolor	swinhoei					
JN632699.1		JN632699.1 | Rusa timorensis 	Rusa timorensis						
MF966595.1		MF966595.1 | Rusa timorensis 	Rusa timorensis						
JN632698.1		JN632698.1 | Rusa alfredi 	Rusa alfredi						
JN632632.1		JN632632.1 | Elaphurus davidianus 	Elaphurus davidianus						
NC_014701.1		NC_014701.1 | Panolia eldi 	Panolia eldi						
KU133959.1		KU133959.1 | Panolia eldi 	Panolia eldi						
JN632629.1		JN632629.1 | Dama dama 	Dama dama						
JN632630.1		JN632630.1 | Dama mesopotamica 	Dama mesopotamica						
MW802562.1		MW802562.1 | Megaloceros giganteus Clade 1 | 35472 | Goyet,Belgium	Megaloceros giganteus		Clade 1	OxA-11784	~35ky	Goyet, Belgium	
MW802543.1		MW802543.1 | Megaloceros giganteus Clade 1 | 57000 | Russia	Megaloceros giganteus		Clade 1	OxA-19513	~57ky	Russia	
MW802571.1		MW802571.1 | Megaloceros giganteus Clade 2 | 50701 | LesPlumettes, France	Megaloceros giganteus		Clade 2	OxA-23086	~51ky	France	
MW802545.1		MW802545.1 | Megaloceros giganteus Clade 2 | 46923 | Piekary,Poland	Megaloceros giganteus		Clade 2	OxA-11099	~50ky	Poland	
MW802575.1		MW802575.1 | Megaloceros giganteus Clade 3 | 48315 | Griffen,Austria	Megaloceros giganteus		Clade 3	OxA-10677	~48ky	Austria	
MW802566.1		MW802566.1 | Megaloceros giganteus Clade 3 | 51600 | Russia	Megaloceros giganteus		Clade 3	OxA-19683	~52ky	Russia	
MW802574.1		MW802574.1 | Megaloceros giganteus Clade 4 | 27238 | Shulgovka,Ukraine	Megaloceros giganteus		Clade 4	OxA-19655	~27ky	Shulgovka, Ukraine	
MW802569.1		MW802569.1 | Megaloceros giganteus Clade 4 | 12848 | Fladmosen,Denmark	Megaloceros giganteus		Clade 4	K-5657	~13ky	Fladmosen, Denmark	
MW802546.1		MW802546.1 | Megaloceros giganteus Clade 5 | 44340 | LesPlumettes, France	Megaloceros giganteus		Clade 5	OxA-23085	~44ky	France	
MW802573.1		MW802573.1 | Megaloceros giganteus Clade 5 | 14000 | Isle of Man	Megaloceros giganteus		Clade 5	OxA-34329	~14ky	Isle of Man	
MW802572.1		MW802572.1 | Megaloceros giganteus Clade 5 | 13662 | NavtrupMark,Denmark	Megaloceros giganteus		Clade 5	OxA-10236	~14ky	Denmark	
MW802558.1		MW802558.1 | Megaloceros giganteus Clade 5 | 12880 | Mountcharles,Ireland	Megaloceros giganteus		Clade 5		~13ky	Ireland	
MW802553.1		MW802553.1 | Megaloceros giganteus Clade 5 | 7712 | Kamyshlov,Russia	Megaloceros giganteus		Clade 5	OxA-13015	~7ky	Russia	
MG788693.1		MG788693.1 | Rucervus duvauceli 	Rucervus duvauceli						
JN632696.1		JN632696.1 | Rucervus duvauceli 	Rucervus duvauceli						
JN632599.1		JN632599.1 | Axis axis 	Axis axis						
JN632600.1		JN632600.1 | Axis porcinus 	Axis porcinus						
NC_008749.1		NC_008749.1 | Elaphodus cephalophus 	Elaphodus cephalophus						
NC_004577.1		NC_004577.1 | Muntiacus crinifrons 	Muntiacus crinifrons						
NC_004563.1		NC_004563.1 | Muntiacus muntjak 	Muntiacus muntjak						
NC_004069.1		NC_004069.1 | Muntiacus reevesi 	Muntiacus reevesi						
NC_008491.1		NC_008491.1 | Muntiacus reevesi micrurus	Muntiacus reevesi	micrurus					
NC_011821.1		NC_011821.1 | Hydropotes inermis 	Hydropotes inermis						
JX254914.1		JX254914.1 | Hydropotes inermis argyroptus	Hydropotes inermis	argyroptus					
KJ681480.1	Cc1		Capreolus capreolus		C1			Poland	Evolutionary neutrality of mtDNA introgression: evidence from complete mitogenome analysis in roe deer
KJ681481.1	Cc2		Capreolus capreolus		C1			Poland	Evolutionary neutrality of mtDNA introgression: evidence from complete mitogenome analysis in roe deer
KJ681482.1	Cc3	KJ681482.1 | Capreolus capreolus	Capreolus capreolus		C1			Poland	Evolutionary neutrality of mtDNA introgression: evidence from complete mitogenome analysis in roe deer
NC_020684.1	CYTO	NC_020684.1 | Capreolus capreolus	Capreolus capreolus		C2				Pattern and timing of diversification of Cetartiodactyla (Mammalia, Laurasiatheria), as revealed by a comprehensive analysis of mitochondrial genomes
KJ681486.1	Cc7		Capreolus capreolus		C2			Poland	Evolutionary neutrality of mtDNA introgression: evidence from complete mitogenome analysis in roe deer
KJ681485.1	Cc6		Capreolus capreolus		C2			Poland	Evolutionary neutrality of mtDNA introgression: evidence from complete mitogenome analysis in roe deer
KJ681483.1	Cc4	KJ681483.1 | Capreolus capreolus	Capreolus capreolus		C3			Poland	Evolutionary neutrality of mtDNA introgression: evidence from complete mitogenome analysis in roe deer
KJ681484.1	Cc5		Capreolus capreolus		C3			Poland	Evolutionary neutrality of mtDNA introgression: evidence from complete mitogenome analysis in roe deer
NC_025271.1	Cp5		Capreolus pyrargus		P1			Russia	Evolutionary neutrality of mtDNA introgression: evidence from complete mitogenome analysis in roe deer
KJ681490.1	Cp3		Capreolus pyrargus		P1			Poland	Evolutionary neutrality of mtDNA introgression: evidence from complete mitogenome analysis in roe deer
KJ681488.1	Cp1		Capreolus pyrargus		P1			Poland	Evolutionary neutrality of mtDNA introgression: evidence from complete mitogenome analysis in roe deer
KJ681493.1	Cp6		Capreolus pyrargus		P1			Russia	Evolutionary neutrality of mtDNA introgression: evidence from complete mitogenome analysis in roe deer
PP068269.1	NJ26S		Capreolus pyrargus		P1		~3ky	China	The ancient mitochondrial genome of a Siberian roe deer (Capreolus pygargus) from Jartai Pass Site in Xinjiang, China, and its phylogenetic relationships
MK795818.1			Capreolus pyrargus		P2			China	Complete mitochondrial genome of Capreolus pygargus (Cervidae: Capreolinae), a protected and threatened species in China
OK041027.1	CADG626		Capreolus pyrargus		P2		~7ky	China	Ancient Mitogenomes Suggest Stable Mitochondrial Clades of the Siberian Roe Deer
OK041025.1	CADG573		Capreolus pyrargus		P2		~9.5ky	China	Ancient Mitogenomes Suggest Stable Mitochondrial Clades of the Siberian Roe Deer
MN485773.1		MN485773.1 | Capreolus pyrargus P2	Capreolus pyrargus		P2			China	-
OK323229.1	CADG842		Capreolus pyrargus		P3		~9ky	China	Ancient Mitogenomes Suggest Stable Mitochondrial Clades of the Siberian Roe Deer
KJ681494.1			Capreolus pyrargus		P3			Russia	Evolutionary neutrality of mtDNA introgression: evidence from complete mitogenome analysis in roe deer
KJ681491.1	Cp4		Capreolus pyrargus		P3			Poland	Evolutionary neutrality of mtDNA introgression: evidence from complete mitogenome analysis in roe deer
OK041026.1	CADG580	OK041026.1 | Capreolus pyrargus P3	Capreolus pyrargus		P3		~11ky	China	Ancient Mitogenomes Suggest Stable Mitochondrial Clades of the Siberian Roe Deer
SB_B20a			Rangifer tarandus	platyrhynchus	BEL		~2.5ky	Svalbard, Norway	Kellner et al. 2023
SB_MLM80			Rangifer tarandus	platyrhynchus	BEL		~4ky	Svalbard, Norway	Kellner et al. 2023
SB_R20			Rangifer tarandus	platyrhynchus	BEL		~0.5ky	Svalbard, Norway	Kellner et al. 2023
NVZ_T_2602			Rangifer tarandus		BEL			Russia	https://www.nature.com/articles/s41598-024-54296-2
FJL_FJL1a			Rangifer tarandus		BEL		~3ky	Russia	https://www.nature.com/articles/s41598-024-54296-2
FJL_FJL3			Rangifer tarandus		BEL		~5ky	Russia	https://www.nature.com/articles/s41598-024-54296-2
C_25			Rangifer tarandus	caribou	BEL			Canada	Taylor et al. 2020
F_Re7573			Rangifer tarandus		BEL			Finland	https://www.nature.com/articles/s41598-024-54296-2
C_27			Rangifer tarandus	pearyi	BEL			Canada	Taylor et al. 2020
EG_HOC#5			Rangifer tarandus	groenlandicus	BEL			Greenland	https://www.nature.com/articles/s41598-024-54296-2
C_21			Rangifer tarandus	caribou	BEL			Canada	Taylor et al. 2020
R_Re6847			Rangifer tarandus		BEL			Taimyr, Russia	Dussex et al. 2023
S_Rt026			Rangifer tarandus	fennicus	BEL			Sweden	https://www.nature.com/articles/s41598-024-54296-2
NC_007703.1		NC_007703.1 | Rangifer tarandus 	Rangifer tarandus		BEL				
WG_41667			Rangifer tarandus	groenlandicus	BEL			Greenland	Taylor et al. 2020
KM506758.1		KM506758.1 | Rangifer tarandus phylarcus	Rangifer tarandus	phylarcus	BEL				
FJL_FJL1b			Rangifer tarandus		BEL		~4ky	Russia	https://www.nature.com/articles/s41598-024-54296-2
C_10			Rangifer tarandus	caribou	BEL			Canada	Taylor et al. 2020
N_Re4581			Rangifer tarandus	tarandus	BEL			Norway	https://www.nature.com/articles/s41598-024-54296-2
N_Re5052			Rangifer tarandus	tarandus	BEL			Norway	https://www.nature.com/articles/s41598-024-54296-2
S_Rt017			Rangifer tarandus	tarandus	BEL			Sweden	https://www.nature.com/articles/s41598-024-54296-2
S_Rt020			Rangifer tarandus	tarandus	BEL			Sweden	https://www.nature.com/articles/s41598-024-54296-2
R_Re6807			Rangifer tarandus		BEL			Taimyr, Russia	https://www.nature.com/articles/s41598-024-54296-2
C_1			Rangifer tarandus	grantii	BEL			Canada	Taylor et al. 2020
C_2			Rangifer tarandus	grantii	BEL			Canada	Taylor et al. 2020
C_3			Rangifer tarandus	groenlandicus	BEL			Canada	Taylor et al. 2020
C_12			Rangifer tarandus	caribou	NAL			Canada	Taylor et al. 2020
C_13			Rangifer tarandus	caribou	NAL			Canada	Taylor et al. 2020
C_14			Rangifer tarandus	caribou	NAL			Canada	Taylor et al. 2020
C_15			Rangifer tarandus	caribou	NAL			Canada	Taylor et al. 2020
C_16			Rangifer tarandus	caribou	NAL			Canada	Taylor et al. 2020
JN632658.1		JN632658.1 | Mazama gouazoubira 	Mazama gouazoubira						
JN632681.1		JN632681.1 | Ozotoceros bezoarticus 	Ozotoceros bezoarticus						
JN632659.1		JN632659.1 | Mazama nemorivaga 	Mazama nemorivaga						
JN632692.1		JN632692.1 | Pudu puda 	Pudu puda						
JN632603.1		JN632603.1 | Blastocerus dichotomus 	Blastocerus dichotomus						
JN632661.1		JN632661.1 | Mazama rufina 	Mazama rufina						
JN632691.1		JN632691.1 | Pudu mephistophiles 	Pudu mephistophiles						
JN632670.1		JN632670.1 | Odocoileus hemionus 	Odocoileus hemionus						
JN632656.1		JN632656.1 | Mazama americana 	Mazama americana						
NC_015247.1		NC_015247.1 | Odocoileus virginianus 	Odocoileus virginianus						
JN632595.1		JN632595.1 | Alces alces 	Alces alces						
KP405229.1		KP405229.1 | Alces alces cameloides	Alces alces	cameloides					
AF492351.1		AF492351.1 | Bos taurus 	Bos taurus			Outgroup			
