Name	Label	Species	Haplogroup	Reference
AF381996.2	AF381996 | Jordan | M1	Modern Human	M1	
AF381998.1	AF381998 | Jordan | L3d	Modern Human	L3	
AF347015.1	AF347015 | Yoruba | L3	Modern Human	L3	
AF347014.1	AF347014 | Yoruba | L3	Modern Human	L3	
AF346977.1	AF346977 | Effik | L2	Modern Human	L2	
AY195766.1	AY195766 | L2b	Modern Human	L2	
AF346995.1	AF346995 | Mandenka | L2	Modern Human	L2	
AF381981.1	AF381981 | L2	Modern Human	L2	
AF381988.1	AF381988 | Morocco | L0	Modern Human	L0	
AF347008.1	AF347008 | San | L0	Modern Human	L0	
AF346999.1	AF346999 | Mbuti | L0	Modern Human	L0	
KX198085.1	KX198085 | Goyet Q374a-1	Neanderthal	Late Neanderthal	
KX198086.1	KX198086 | Goyet Q305-7	Neanderthal	Late Neanderthal	
KX198084.1	KX198084 | Goyet Q56-1	Neanderthal	Late Neanderthal	
Spy94a	MG025538 | Spy 94a	Neanderthal	Late Neanderthal	10.1038/nature26151
KJ533545.1	KJ533545 | Vindija 33.19	Neanderthal	Late Neanderthal	
AM948965.1	AM948965 | Vindija 33.16	Neanderthal	Late Neanderthal	
KJ533544.1	KJ533544 | Vindija 33.17	Neanderthal	Late Neanderthal	
FM865410.1	FM865410 | Vindija 33.25	Neanderthal	Late Neanderthal	
FM865407.1	FM865407 | Feldhofer 1	Neanderthal	Late Neanderthal	
KX198088.1	KX198088 | Goyet Q57-2	Neanderthal	Late Neanderthal	
KX198083.1	KX198083 | Goyet Q57-3	Neanderthal	Late Neanderthal	
FM865408.1	FM865408 | Feldhofer 2	Neanderthal	Late Neanderthal	
MG025537.1	MG025537 | Mezmaiskaya 2	Neanderthal	Late Neanderthal	
FM865409.1	FM865409 | El Sidron 1253	Neanderthal	Late Neanderthal	
FM865408.1	FM865408 | Feldhofer 2	Neanderthal	Late Neanderthal	
KX198087.1	KX198087 | Goyet Q305-4	Neanderthal	Late Neanderthal	
MK388903.1	MK388903 | Chagyrskaya 08	Neanderthal	Late Neanderthal	
KF982693.1	KF982693 | Okladnikov 2	Neanderthal	Early Neanderthal	
MG025536.1	MG025536 | Les Cottes Z4-1514	Neanderthal	Early Neanderthal	
KU131206.2	KU131206 | DC1227 (Denisova 11)	Neanderthal	Early Neanderthal	
FM865411.1	FM865411 | Mezmaiskaya 1	Neanderthal	Early Neanderthal	
Thorin	PRJEB73284 | Thorin	Neanderthal	Early Neanderthal	
KC879692.1	KC879692 | Altai	Neanderthal	Early Neanderthal	
MK123269.1	MK123269 | Scladina I-4A	Neanderthal	Early Neanderthal	
MK033602.1	MK033602 | Denisova 15	Neanderthal	Early Neanderthal	
KY751400.2	KY751400 | Hohenstein Stadel	Neanderthal	HST	
FR695060.1	FR695060 | Denisova 4	Denisova		
NC_013993.1	NC013993 | Denisova 3	Denisova		
KT780370.1	KT780370 | Denisova 8	Denisova		
KX663333.1	KX663333 | Denisova 2	Denisova		
NC_023100.1	NC023100 | Sima de los Huesos	Sima		
NC_001643.1	NC001643 | Chimpanzee	Chimp		
